Type,Week,Density,Replicate,50 weight,Remaining 
AO,AO.6,100,3,0.0029,0.0066
AO,AO.6,100,4,0.0029,0.0081
AO,AO.6,150,1,0.0028,0.0034
AO,AO.6,150,2,0.0033,0.0073
AO,AO.6,150,3,0.003,0.0064
AO,AO.6,150,4,0.0028,0.002
AO,AO.7,0,1,0.0028,0.0107
AO,AO.7,0,2,0.003,0.0087
AO,AO.7,0,3,0.003,0.0031
AO,AO.7,0,4,0.0025,0.0032
AO,AO.7,2,1,0.0029,0.0061
AO,AO.7,2,2,0.0032,0.0044
AO,AO.7,2,3,0.0029,0.0045
AO,AO.7,2,4,0.0029,0.0082
AO,AO.7,6,1,0.0023,0.0032
AO,AO.7,6,2,0.0029,0.0064
AO,AO.7,6,3,0.0029,0.0072
AO,AO.7,6,4,0.003,0.0088
AO,AO.7,20,1,0.0026,0.0053
AO,AO.7,20,2,0.003,0.0057
AO,AO.7,20,3,0.003,0.005
AO,AO.7,20,4,0.0028,0.006
AO,AO.7,50,1,0.003,0.0055
AO,AO.7,50,2,0.003,0.0035
AO,AO.7,50,3,0.0028,0.0069
AO,AO.7,50,4,0.003,0.0031
AO,AO.7,75,1,0.003,0.0079
AO,AO.7,75,2,0.0028,0.0067
AO,AO.7,75,3,0.0031,0.0043
AO,AO.7,75,4,0.0031,0.0072
AO,AO.7,100,1,0.0028,0.0075
AO,AO.7,100,2,0.0028,0.0039
AO,AO.7,100,3,0.0029,0.0052
AO,AO.7,100,4,0.0028,0.0024
AO,AO.7,150,1,0.0026,0.0037
AO,AO.7,150,2,0.0028,0.0063
AO,AO.7,150,3,0.0029,0.0056
AO,AO.7,150,4,0.0029,0.005
OA,OA.1,0,1,0.0024,0.0073
OA,OA.1,0,2,0.0016,0.0055
OA,OA.1,0,3,0.0019,0.0075
OA,OA.1,0,4,NA,NA
OA,OA.1,2,1,0.002,0.0079
OA,OA.1,2,2,0.0021,0.0075
OA,OA.1,2,3,0.0022,0.0109
OA,OA.1,2,4,0.0022,0.0063
OA,OA.1,6,1,0.0022,0.0045
OA,OA.1,6,2,0.0022,0.0043
OA,OA.1,6,3,NA,NA
OA,OA.1,6,4,0.0019,0.0056
OA,OA.1,20,1,0.0024,0.0036
OA,OA.1,20,2,0.0023,0.0057
OA,OA.1,20,3,0.0017,0.0047
OA,OA.1,20,4,0.0019,0.0043
OA,OA.1,50,1,0.0034,0.0027
OA,OA.1,50,2,0.0023,0.0061
OA,OA.1,50,3,0.0028,0.0089
OA,OA.1,50,4,0.0022,0.005
OA,OA.1,75,1,0.0031,0.0097
OA,OA.1,75,2,0.0015,0.0025
OA,OA.1,75,3,0.0024,0.0036
OA,OA.1,75,4,0.0025,0.0039
OA,OA.1,100,1,0.0021,0.0065
OA,OA.1,100,2,0.0022,0.0079
OA,OA.1,100,3,0.0026,0.0032
OA,OA.1,100,4,0.0023,0.0045
OA,OA.1,150,1,0.002,0.009
OA,OA.1,150,2,0.0023,0.0049
OA,OA.1,150,3,0.0021,0.0034
OA,OA.1,150,4,0.0015,0.0108
OA,OA.2,0,1,0.0022,0.0044
OA,OA.2,0,2,0.002,0.0042
OA,OA.2,0,3,0.0019,0.0026
OA,OA.2,0,4,0.0023,0.0059
OA,OA.2,2,1,0.0025,0.0039
OA,OA.2,2,2,0.0024,0.0039
OA,OA.2,2,3,0.0023,0.0062
OA,OA.2,2,4,0.0025,0.0067
OA,OA.2,6,1,0.0021,0.0064
OA,OA.2,6,2,0.002,0.0057
OA,OA.2,6,3,0.0024,0.0057
